indicative past 3sg	erket͡s	kaɣet͡s	abret͡saw	xoset͡saw	ad͡zilvet͡saw	puʒvet͡saw	aɣat͡s	gartat͡s	ardaheɣut͡s	toɣut͡s, toɣ	ad͡ʒet͡sut͡s	modet͡sut͡s	ant͡sut͡s	tart͡sut͡s	usut͡s	d͡zanut͡s	ant͡saw	meraw	ergnaw	gbaw	amt͡ʃt͡saw	nihart͡saw	ertvaw	zposnet͡s	it͡ʃaw	it͡ʃaw	kdaw	kdaw	desaw	desaw	elaw	elaw	tbaw		grt͡saw						eɣaw	egaw	lat͡saw	dvaw	ardaperaw	peraw	antratart͡saw	tart͡saw	araw	pat͡saw	traw	tbaw	knat͡s	zargaw	zit͡ʃaw	əntunet͡s, əntunet͡saw	əraw	əsaw	tkaw	ingaw	xad͡zaw	xaɣat͡s, xaɣt͡saw	mnat͡s	nsdet͡saw, nsdaw	geraw	daraw
indicative past imperfect 1pl	g'erkeink	gə kaɣeink	g'abreink	gə xoseink	g'ad͡zilveink	gə puʒveink	g'aɣaink	gə gartaink	g'ardaheɣeink, g'ardaheɣvink	gə toɣeink, gə toɣvink	g'ad͡ʒet͡sneink	gə modet͡sneink	g'ant͡səneink	gə tart͡sneink	g'usut͡saneink	gə d͡zanut͡saneink	g'ant͡sneink	gə merneink	g'ergnt͡ʃeink		g'amt͡ʃnaink	gə niharnaink	g'ertneink	gə zposneink	g'it͡ʃnaink	g'it͡ʃneink	gə kdnaink	gə kdneink	gə desnaink	gə desneink	g'ellaink	g'elleink	gə tbt͡ʃeink		grnaink	g'ereweink	uneink	kideink	gaink	eink	g'əllaink	gu kaink	gu laink	gu daink	g'ardapereink	gə pereink	g'antratarnaink	gə tarnaink	g'arneink	gə panaink	gə tneink	gə tbeink	g'ertaink	gə zarneink	gə zit͡ʃeink	g'əntuneink	g'əneink	g'əseink	gə tkneink	g'ijnaink	gə xad͡zneink	gə xaɣaink	gə mnaink	gə nsdeink	g'udeink	gə daneink
indicative past imperfect 1sg	g'erkei	gə kaɣei	g'abrei	gə xosei	g'ad͡zilvei	gə puʒvei	g'aɣai	gə gartai	g'ardaheɣei, g'ardaheɣvi	gə toɣei, gə toɣvi	g'ad͡ʒet͡snei	gə modet͡snei	g'ant͡sənei	gə tart͡snei	g'usut͡sanei	gə d͡zanut͡sanei	g'ant͡snei	gə mernei	g'ergnt͡ʃei		g'amt͡ʃnai	gə niharnai	g'ertnei	gə zposnei	g'it͡ʃnai	g'it͡ʃnei	gə kdnai	gə kdnei	gə desnai	gə desnei	g'ellai	g'ellei	gə tbt͡ʃei		grnai	g'erewei	unei	kidei	gai	ei	g'əllai	gu kai	gu lai	gu dai	g'ardaperei	gə perei	g'antratarnai	gə tarnai	g'arnei	gə panai	gə tnei	gə tbei	g'ertai	gə zarnei	gə zit͡ʃei	g'əntunei	g'ənei	g'əsei	gə tknei	g'ijnai	gə xad͡znei	gə xaɣai	gə mnai	gə nsdei	g'udei	gə danei
indicative past imperfect 2pl	g'erkeik	gə kaɣeik	g'abreik	gə xoseik	g'ad͡zilveik	gə puʒveik	g'aɣaik	gə gartaik	g'ardaheɣeik, g'ardaheɣvik	gə toɣeik, gə toɣvik	g'ad͡ʒet͡sneik	gə modet͡sneik	g'ant͡səneik	gə tart͡sneik	g'usut͡saneik	gə d͡zanut͡saneik	g'ant͡sneik	gə merneik	g'ergnt͡ʃeik		g'amt͡ʃnaik	gə niharnaik	g'ertneik	gə zposneik	g'it͡ʃnaik	g'it͡ʃneik	gə kdnaik	gə kdneik	gə desnaik	gə desneik	g'ellaik	g'elleik	gə tbt͡ʃeik		grnaik	g'ereweik	uneik	kideik	gaik	eik	g'əllaik	gu kaik	gu laik	gu daik	g'ardapereik	gə pereik	g'antratarnaik	gə tarnaik	g'arneik	gə panaik	gə tneik	gə tbeik	g'ertaik	gə zarneik	gə zit͡ʃeik	g'əntuneik	g'əneik	g'əseik	gə tkneik	g'ijnaik	gə xad͡zneik	gə xaɣaik	gə mnaik	gə nsdeik	g'udeik	gə daneik
indicative past imperfect 2sg	g'erkeir	gə kaɣeir	g'abreir	gə xoseir	g'ad͡zilveir	gə puʒveir	g'aɣair	gə gartair	g'ardaheɣeir, g'ardaheɣvir	gə toɣeir, gə toɣvir	g'ad͡ʒet͡sneir	gə modet͡sneir	g'ant͡səneir	gə tart͡sneir	g'usut͡saneir	gə d͡zanut͡saneir	g'ant͡sneir	gə merneir	g'ergnt͡ʃeir		g'amt͡ʃnair	gə niharnair	g'ertneir	gə zposneir	g'it͡ʃnair	g'it͡ʃneir	gə kdnair	gə kdneir	gə desnair	gə desneir	g'ellair	g'elleir	gə tbt͡ʃeir		grnair	g'ereweir	uneir	kideir	gair	eir	g'əllair	gu kair	gu lair	gu dair	g'ardapereir	gə pereir	g'antratarnair	gə tarnair	g'arneir	gə panair	gə tneir	gə tbeir	g'ertair	gə zarneir	gə zit͡ʃeir	g'əntuneir	g'əneir	g'əseir	gə tkneir	g'ijnair	gə xad͡zneir	gə xaɣair	gə mnair	gə nsdeir	g'udeir	gə daneir
indicative past imperfect 3pl	g'erkein	gə kaɣein	g'abrein	gə xosein	g'ad͡zilvein	gə puʒvein	g'aɣain	gə gartain	g'ardaheɣein, g'ardaheɣvin	gə toɣein, gə toɣvin	g'ad͡ʒet͡snein	gə modet͡snein	g'ant͡sənein	gə tart͡snein	g'usut͡sanein	gə d͡zanut͡sanein	g'ant͡snein	gə mernein	g'ergnt͡ʃein		g'amt͡ʃnain	gə niharnain	g'ertnein	gə zposnein	g'it͡ʃnain	g'it͡ʃnein	gə kdnain	gə kdnein	gə desnain	gə desnein	g'ellain	g'ellein	gə tbt͡ʃein		grnain	g'erewein	unein	kidein	gain	ein	g'əllain	gu kain	gu lain	gu dain	g'ardaperein	gə perein	g'antratarnain	gə tarnain	g'arnein	gə panain	gə tnein	gə tbein	g'ertain	gə zarnein	gə zit͡ʃein	g'əntunein	g'ənein	g'əsein	gə tknein	g'ijnain	gə xad͡znein	gə xaɣain	gə mnain	gə nsdein	g'udein	gə danein
indicative past imperfect 3sg	g'erker	gə kaɣer	g'abrer	gə xoser	g'ad͡zilver	gə puʒver	g'aɣar	gə gartar	g'ardaheɣer, g'ardaheɣur	gə toɣer, gə toɣur	g'ad͡ʒet͡sner	gə modet͡sner	g'ant͡səner	gə tart͡sner	g'usut͡saner	gə d͡zanut͡saner	g'ant͡sner	gə merner	g'ergnt͡ʃer		g'amt͡ʃnar	gə niharnar	g'ertner	gə zposner	g'it͡ʃnar	g'it͡ʃner	gə kdnar	gə kdner	gə desnar	gə desner	g'ellar	g'eller	gə tbt͡ʃer		grnar	g'erewer	uner	kider	gar	er	g'əllar	gu kar	gu lar	gu dar	g'ardaperer	gə perer	g'antratarnar	gə tarnar	g'arner	gə panar	gə tner	gə tber	g'ertar	gə zarner	gə zit͡ʃer	g'əntuner	g'əner	g'əser	gə tkner	g'ijnar	gə xad͡zner	gə xaɣar	gə mnar	gə nsder	g'uder	gə daner
indicative present 1pl	g'erkenk	gə kaɣenk	g'abrink	gə xosink	g'ad͡zilvink	gə puʒvink	g'aɣank	gə gartank	g'ardaheɣenk, g'ardaheɣunk	gə toɣunk	g'ad͡ʒet͡snenk	gə modet͡snenk	g'ant͡sənenk	gə tart͡snenk	g'usut͡sanenk	gə d͡zanut͡sanenk	g'ant͡snink	gə mernink	g'ergnt͡ʃink	gə gbt͡ʃink	g'amt͡ʃnank	gə niharnank	g'ertnunk	gə zposnunk	g'it͡ʃnank	g'it͡ʃnenk	gə kdnank	gə kdnenk	gə desnank	gə desnenk	g'ellank	g'ellenk	gə tbt͡ʃink		grnank	g'erewink	unink	kidenk	gank	enk	g'əllank	gu kank	gu lank	gu dank	g'ardaperenk	gə perenk	g'antratarnank	gə tarnank	g'arnenk	gə panank	gə tnenk	gə tbink	g'ertank	gə zarnenk	gə zit͡ʃink	g'əntunink	g'ənenk	g'əsenk	gə tknenk	g'ijnank	gə xad͡znenk	gə xaɣank	gə mnank	gə nsdink	g'udenk	gə danink
indicative present 1sg	g'erkem	gə kaɣem	g'abrim	gə xosim	g'ad͡zilvim	gə puʒvim	g'aɣam	gə gartam	g'ardaheɣem, g'ardaheɣum	gə toɣum	g'ad͡ʒet͡snem	gə modet͡snem	g'ant͡sənem	gə tart͡snem	g'usut͡sanem	gə d͡zanut͡sanem	g'ant͡snim	gə mernim	g'ergnt͡ʃim	gə gbt͡ʃim	g'amt͡ʃnam	gə niharnam	g'ertnum	gə zposnum	g'it͡ʃnam	g'it͡ʃnem	gə kdnam	gə kdnem	gə desnam	gə desnem	g'ellam	g'ellem	gə tbt͡ʃim		grnam	g'erewim	unim	kidem	gam	em	g'əllam	gu kam	gu lam	gu dam	g'ardaperem	gə perem	g'antratarnam	gə tarnam	g'arnem	gə panam	gə tnem	gə tbim	g'ertam	gə zarnem	gə zit͡ʃim	g'əntunim	g'ənem	g'əsem	gə tknem	g'ijnam	gə xad͡znem	gə xaɣam	gə mnam	gə nsdim	g'udem	gə danim
indicative present 2pl	g'erkek	gə kaɣek	g'abrik	gə xosik	g'ad͡zilvik	gə puʒvik	g'aɣak	gə gartak	g'ardaheɣek, g'ardaheɣuk	gə toɣuk	g'ad͡ʒet͡snek	gə modet͡snek	g'ant͡sənek	gə tart͡snek	g'usut͡sanek	gə d͡zanut͡sanek	g'ant͡snik	gə mernik	g'ergnt͡ʃik	gə gbt͡ʃik	g'amt͡ʃnak	gə niharnak	g'ertnuk	gə zposnuk	g'it͡ʃnak	g'it͡ʃnek	gə kdnak	gə kdnek	gə desnak	gə desnek	g'ellak	g'ellek	gə tbt͡ʃik		grnak	g'erewik	unik	kidek	gak	ek	g'əllak	gu kak	gu lak	gu dak	g'ardaperek	gə perek	g'antratarnak	gə tarnak	g'arnek	gə panak	gə tnek	gə tbik	g'ertak	gə zarnek	gə zit͡ʃik	g'əntunik	g'ənek	g'əsek	gə tknek	g'ijnak	gə xad͡znek	gə xaɣak	gə mnak	gə nsdik	g'udek	gə danik
indicative present 2sg	g'erkes	gə kaɣes	g'abris	gə xosis	g'ad͡zilvis	gə puʒvis	g'aɣas	gə gartas	g'ardaheɣes, g'ardaheɣus	gə toɣus	g'ad͡ʒet͡snes	gə modet͡snes	g'ant͡sənes	gə tart͡snes	g'usut͡sanes	gə d͡zanut͡sanes	g'ant͡snis	gə mernis	g'ergnt͡ʃis	gə gbt͡ʃis	g'amt͡ʃnas	gə niharnas	g'ertnus	gə zposnus	g'it͡ʃnas	g'it͡ʃnes	gə kdnas	gə kdnes	gə desnas	gə desnes	g'ellas	g'elles	gə tbt͡ʃis		grnas	g'erewis	unis	kides	gas	es	g'əllas	gu kas	gu las	gu das	g'ardaperes	gə peres	g'antratarnas	gə tarnas	g'arnes	gə panas	gə tnes	gə tbis	g'ertas	gə zarnes	gə zit͡ʃis	g'əntunis	g'ənes	g'əses	gə tknes	g'ijnas	gə xad͡znes	gə xaɣas	gə mnas	gə nsdis	g'udes	gə danis
indicative present 3pl	g'erken	gə kaɣen	g'abrin	gə xosin	g'ad͡zilvin	gə puʒvin	g'aɣan	gə gartan	g'ardaheɣen, g'ardaheɣun	gə toɣun	g'ad͡ʒet͡snen	gə modet͡snen	g'ant͡sənen	gə tart͡snen	g'usut͡sanen	gə d͡zanut͡sanen	g'ant͡snin	gə mernin	g'ergnt͡ʃin	gə gbt͡ʃin	g'amt͡ʃnan	gə niharnan	g'ertnun	gə zposnun	g'it͡ʃnan	g'it͡ʃnen	gə kdnan	gə kdnen	gə desnan	gə desnen	g'ellan	g'ellen	gə tbt͡ʃin		grnan	g'erewin	unin	kiden	gan	en	g'əllan	gu kan	gu lan	gu dan	g'ardaperen	gə peren	g'antratarnan	gə tarnan	g'arnen	gə panan	gə tnen	gə tbin	g'ertan	gə zarnen	gə zit͡ʃin	g'əntunin	g'ənen	g'əsen	gə tknen	g'ijnan	gə xad͡znen	gə xaɣan	gə mnan	gə nsdin	g'uden	gə danin
indicative present 3sg	g'erke	gə kaɣe	g'abri	gə xosi	g'ad͡zilvi	gə puʒvi	g'aɣa	gə garta	g'ardaheɣe, g'ardaheɣu	gə toɣu	g'ad͡ʒet͡sne	gə modet͡sne	g'ant͡səne	gə tart͡sne	g'usut͡sane	gə d͡zanut͡sane	g'ant͡sni	gə merni	g'ergnt͡ʃi	gə gbt͡ʃi	g'amt͡ʃna	gə niharna	g'ertnu	gə zposnu	g'it͡ʃna	g'it͡ʃne	gə kdna	gə kdne	gə desna	gə desne	g'ella	g'elle	gə tbt͡ʃi		grna	g'erewi	uni	kide	ga	e	g'əlla	gu ka	gu la	gu da	g'ardapere	gə pere	g'antratarna	gə tarna	g'arne	gə pana	gə tne	gə tbi	g'erta	gə zarne	gə zit͡ʃi	g'əntuni	g'əne	g'əse	gə tkne	g'ijna	gə xad͡zne	gə xaɣa	gə mna	gə nsdi	g'ude	gə dani
infinitival	erkel	kaɣel	abril	xosil	ad͡zilvil	puʒvil	aɣal	gartal	ardaheɣul	toɣul	ad͡ʒet͡snel	modet͡snel	ant͡sənel	tart͡snel	usut͡sanel	d͡zanut͡sanel	ant͡snil	mernil	ergnt͡ʃil	gbt͡ʃil	amt͡ʃnal	niharnal	ertnul	zposnul	it͡ʃnal	it͡ʃnel	kdnal	kdnel	desnal	desnel	ellal	ellel	tbt͡ʃil	garenal		erewil					əllal	kal	lal	dal	ardaperel	perel	antratarnal	tarnal	arnel	panal	tnel	tbil	ertal	zarnel	zit͡ʃil	əntunil	ənel	əsel	tknel	ijnal	xad͡znel	xaɣal	mnal	nsdil	udel	danil
negative future participle	t͡ʃerkelu	t͡ʃkaɣelu	t͡ʃabrelu	t͡ʃxoselu	t͡ʃad͡zilvelu	t͡ʃpuʒvelu	t͡ʃaɣalu	t͡ʃgartalu	t͡ʃardaheɣelu	t͡ʃtoɣelu	t͡ʃad͡ʒet͡snelu	t͡ʃmodet͡snelu	t͡ʃant͡sənelu	t͡ʃtart͡snelu	t͡ʃusut͡sanelu	t͡ʃd͡zanut͡sanelu	t͡ʃant͡snelu	t͡ʃmernelu	t͡ʃergnt͡ʃelu	t͡ʃgbt͡ʃelu	t͡ʃamt͡ʃnalu	t͡ʃniharnalu	t͡ʃertnelu	t͡ʃzposnelu	t͡ʃit͡ʃnalu	t͡ʃit͡ʃnelu	t͡ʃkdnalu	t͡ʃkdnelu	t͡ʃdesnalu	t͡ʃdesnelu	t͡ʃellalu	t͡ʃellelu	t͡ʃtbt͡ʃelu	t͡ʃgarenalu		t͡ʃerewelu					t͡ʃəllalu	t͡ʃkalu	t͡ʃlalu	t͡ʃdalu	t͡ʃardaperelu	t͡ʃperelu	t͡ʃantratarnalu	t͡ʃtarnalu	t͡ʃarnelu	t͡ʃpanalu	t͡ʃtnelu	t͡ʃtbelu	t͡ʃertalu	t͡ʃzarnelu	t͡ʃzit͡ʃelu	t͡ʃəntunelu	t͡ʃənelu	t͡ʃəselu	t͡ʃtknelu	t͡ʃijnalu	t͡ʃxad͡znelu	t͡ʃxaɣalu	t͡ʃmnalu	t͡ʃnsdelu	t͡ʃudelu	t͡ʃdanelu
